FID,providerid,uid,caretype,price,capacity,quality,provider_l,provider_1
137,UKI5ZY0X,138,center,401,28,3,-96.756278991700000,46.848880767799997
138,UBE2QX8C,139,family,230,41,4,-96.756004333500002,46.856418609599999
139,TLD9EX6I,140,center,192,66,4,-96.755921999999998,46.850409999999997
140,GHX6GU3W,141,family,46,7,4,-96.755330000000001,46.884470000000000
141,GFP4JT3J,142,family,116,14,4,-96.755264282200002,46.831211090099998
142,PVB0IY1X,143,center,247,67,1,-96.754661560100004,46.849052429200000
143,WVZ4YL3L,144,family,128,23,4,-96.754660000000001,46.848900000000000
144,RAZ2VQ0R,145,center,277,80,2,-96.753140000000002,46.851649999999999
145,UKQ9SX9I,146,family,52,17,4,-96.752780000000001,46.831609999999998
146,IRE4VT6P,147,family,209,12,1,-96.752471923800002,46.826301574699997
147,YSS4XG3N,148,family,220,18,3,-96.752099999999999,46.859299999999998
148,MUV9KV5P,149,family,133,23,3,-96.751760000000004,46.828220000000002
149,NRK0AI2F,150,center,309,71,2,-96.751739999999998,46.825980000000001
150,DIL9OW1J,151,family,140,6,1,-96.750889999999998,46.854349999999997
151,XCN7JM7H,152,family,15,42,1,-96.750879999999995,46.888320000000000
152,LIM3XH0C,153,family,289,18,3,-96.750099182100001,46.926391601600002
153,VXM0OP0A,154,family,277,38,4,-96.749794006299993,46.928421020499997
154,ODV2ST4L,155,center,332,63,1,-96.748769999999993,46.855080000000001
155,IHG4DM3D,156,family,56,0,1,-96.748069763199993,46.853221893300002
156,FJM7RI2A,157,family,287,28,2,-96.747604370100007,46.928672790500002
157,UNX5RZ3J,158,center,227,32,4,-96.747150000000005,46.928420000000003
158,DBB2BT2E,159,center,434,95,2,-96.747140000000002,46.929630000000003
159,ISR0PP0N,160,family,97,49,4,-96.746639999999999,46.840870000000002
160,UWO6QN6R,161,center,208,82,2,-96.746093750000000,46.845668792700003
161,DHD2RT4U,162,center,475,73,1,-96.745660000000001,46.844459999999998
162,DQU1WH9M,163,family,8,3,4,-96.745429999999999,46.870539999999998
163,FPU0DG1T,164,center,298,58,4,-96.744628906299994,46.871273040799998
164,BND5HL7I,165,center,231,96,1,-96.744420000000005,46.842149999999997
165,WCI6BQ8V,166,family,181,46,3,-96.742639999999994,46.868070000000003
166,ZSD5DO5U,167,family,85,14,4,-96.741849999999999,46.870579999999997
167,REO9TF6T,168,center,266,33,1,-96.741519999999994,46.867910000000002
168,WYS4HA1O,169,family,95,0,1,-96.741477966299996,46.870590210000003
169,JFG0LZ8G,170,center,242,70,3,-96.741330000000005,46.866280000000003
170,YMX6RG1P,171,family,236,27,1,-96.740692138699998,46.868076324500002
171,MPT7TF7O,172,family,0,40,2,-96.740489999999994,46.865499999999997
172,PEX8VN0E,173,center,110,25,3,-96.739239999999995,46.864939999999997
173,SFR3NC1M,174,family,84,28,1,-96.739109999999997,46.882579999999997
174,NAH9OC1N,175,family,118,50,3,-96.738052368200002,46.881637573200003
175,YBA3XU0K,176,family,248,7,1,-96.738039999999998,46.881760000000000
176,JFI4VR5H,177,family,12,20,3,-96.737759999999994,46.845799999999997
177,NEF8WI7A,178,center,199,89,3,-96.736729999999994,46.864019999999996
178,PKH8QT0Q,179,family,158,19,4,-96.735000610399993,46.861450195300002
179,XKV2XE4H,180,family,161,40,2,-96.734979999999993,46.845450000000000
180,WYR0NN6J,181,center,497,93,3,-96.734899999999996,46.861240000000002
181,RAB0AQ1M,182,family,59,10,3,-96.732699999999994,46.857880000000002
182,KTE9EU7L,183,center,114,65,2,-96.731229999999996,46.863010000000003
183,HNM8BS3F,184,family,107,9,4,-96.731224060100004,46.862815856899999
184,VAV9SP0H,185,center,438,91,2,-96.729492187500000,46.855442047099999
185,YLI1PJ4W,186,family,38,19,2,-96.729479999999995,46.855190000000000
186,DSN4AC7W,187,family,175,44,3,-96.729150000000004,46.845379999999999
187,ORU6UQ8P,188,family,130,24,2,-96.728294372600004,46.883148193399997
188,NVW9PD4Y,189,family,293,46,2,-96.728290000000001,46.883389999999999
189,BLK4HT3S,190,center,129,26,4,-96.724649999999997,46.862369999999999
190,JXD7NR7O,191,center,255,91,1,-96.721450000000004,46.843449999999997
191,WPZ2FX5H,192,family,46,32,4,-96.718080000000000,46.863810000000001
192,LZV8OL5F,193,center,457,52,4,-96.717209999999994,46.840220000000002
193,EXS9VE9I,194,family,227,38,3,-96.716629999999995,46.831710000000001
194,TSF0HU7C,195,center,461,66,3,-96.712966918899994,46.882453918499998
195,AAU9RY9P,196,center,164,97,2,-96.711879999999994,46.831069999999997
196,VJW7QB3M,197,center,439,39,3,-96.711532592799998,46.880863189700001
197,JWG3KP5P,198,family,231,15,2,-96.710639999999998,46.882030000000000
198,SLI7GN8Q,199,family,91,21,4,-96.709440000000001,46.881650000000000
199,AVF6ZV4R,200,family,163,43,1,-96.709299999999999,46.877940000000002
200,CIO9VS4I,201,center,423,32,3,-96.709068298299997,46.881633758500001
201,LUE6MD6U,202,center,322,81,2,-96.708950000000002,46.832619999999999
202,FRO1ZI9N,203,center,151,85,3,-96.708349999999996,46.881929999999997
203,UNI8FW1P,204,family,289,17,3,-96.706630000000004,46.880640000000000
204,KOX7KR0Y,205,family,155,23,3,-96.706230000000005,46.880580000000002
205,YEF4TG9W,206,family,29,12,4,-96.703282000000002,46.877710000000000
206,WCW4EG6C,207,center,243,47,1,-96.703281000000004,46.877710000000000
207,CLM2PV9T,208,center,226,58,2,-96.699250000000006,46.875100000000003
208,LEY3VA0P,209,family,13,41,4,-96.698620000000005,46.877969999999998
209,GOX9TG4T,210,family,132,34,4,-96.698049999999995,46.876860000000001
210,CIL8DQ0L,211,family,131,43,1,-96.697339999999997,46.879370000000002
211,GWY4RF5L,212,center,451,43,3,-96.695490000000007,46.883049999999997
212,DTL8LD4T,213,family,154,42,1,-96.693479999999994,46.884459999999997
213,SUU9XS2V,214,family,45,35,2,-96.693473815900006,46.884246826199998
214,DGZ0XP4U,215,center,157,28,3,-96.692771911600005,46.881698608400001
215,OMP9EV4J,216,family,253,9,1,-96.692110000000000,46.888610000000000
216,GRM1RP5C,217,family,161,7,1,-96.691730000000007,46.883130000000001
217,IET1FO8M,218,family,281,10,2,-96.690452575699993,46.879802703899998
218,QGP8KV5U,219,center,340,54,4,-96.690449999999998,46.879579999999997
219,DET7IR1T,220,family,248,43,1,-96.690119999999993,46.879249999999999
220,ODW2OC6N,221,family,44,38,1,-96.690109252900001,46.879028320300002
221,ZEE7VL6B,222,family,263,3,2,-96.687780000000004,46.879249999999999
222,UBS2XS1J,223,center,497,44,4,-96.687119999999993,46.881839999999997
223,IYT5WU1R,224,family,12,8,2,-96.659189999999995,46.779350000000001
224,ZWO8YS0H,225,family,233,28,2,-96.657700000000006,46.779449999999997
225,WEL5SG2A,226,family,21,41,1,-96.654200000000003,46.779949999999999
226,SCM3MC7A,227,family,129,6,4,-96.632630000000006,47.800480000000000
227,VGN6JN4E,228,family,113,0,3,-96.632484435999999,47.800521850599999
228,NCY9SI6U,229,family,251,18,2,-96.622399999999999,47.766559999999998
229,HMC2GQ0H,230,family,249,2,3,-96.620679999999993,47.761270000000003
230,TDN1MI1C,231,family,286,15,2,-96.615051269500000,47.768119812000002
231,DTZ8RE6P,232,center,413,26,1,-96.614199999999997,47.761150000000001
232,VRP1OG3M,233,center,125,38,4,-96.612380981399994,47.782058715799998
233,HRI1CG9I,234,family,134,18,2,-96.611770629899993,47.781017303500001
234,UUK3DK9I,235,family,215,37,4,-96.609410999999994,47.782890000000002
235,JZE0QF8M,236,center,345,78,4,-96.606579999999994,47.766249999999999
236,UIE3RW9J,237,center,390,92,4,-96.606254577599998,47.782558441200003
237,YCE6TE8K,238,family,256,5,3,-96.606250000000003,47.782820000000001
238,KLC7LZ5L,239,family,36,38,4,-96.606210000000004,47.780500000000004
239,UEI1WV2T,240,center,458,30,1,-96.605950000000007,47.773739999999997
240,IVH2SS5K,241,family,52,22,1,-96.605570000000000,47.768210000000003
241,ZLY7QL6P,242,center,104,57,1,-96.604900000000001,47.761260000000000
242,EYY2XR8M,243,center,409,27,2,-96.600309999999993,47.783290000000001
243,DGI6KG0W,244,family,247,5,1,-96.595870000000005,47.784849999999999
244,EQQ7CJ5G,245,family,166,4,3,-96.594279999999998,47.785110000000003
245,IDL0YT9N,246,family,298,2,3,-96.593841552699999,47.783077239999997
246,VQC5GZ5E,247,family,40,0,2,-96.593699999999998,47.783510000000000
247,OXH8TF8P,248,center,497,35,3,-96.593649999999997,46.271859999999997
248,YVF7MZ7Z,249,center,475,29,3,-96.592918396000002,46.276329040500002
249,LEP4KM9U,250,family,230,20,4,-96.592315673800002,46.261390685999999
250,QVA2RJ4T,251,family,180,23,3,-96.591140747099999,47.779514312700002
251,RWT9EZ0A,252,center,198,77,2,-96.589990000000000,47.781610000000001
252,EUY1OR5R,253,family,68,22,4,-96.589408874499995,47.786949157700001
253,EGM2IK6C,254,family,243,10,1,-96.588989999999995,47.787489999999998
254,QMC0QG8F,255,center,119,23,1,-96.586960000000005,46.261920000000003
255,CIO8PT4Y,256,family,192,29,4,-96.586608886700006,46.255779266399998
256,ALA8JZ0C,257,family,26,30,3,-96.586509704600005,46.260459899899999
257,MDI8SZ7Q,258,family,86,37,2,-96.586502075200002,46.260738372799999
258,KGZ2RE9C,259,family,7,32,2,-96.586119999999994,46.260730000000002
259,HYX6JY5K,260,family,55,7,3,-96.585920000000002,47.782110000000003
260,RQT1PR1U,261,family,181,24,2,-96.585914611800007,47.781875610400000
261,XTP5CF8N,262,family,269,45,2,-96.585868835400007,47.783554077100000
262,ATU7BE7D,263,family,269,37,1,-96.585530000000006,46.268540000000002
263,QOB9SR4L,264,center,195,33,1,-96.585189819299998,46.260604858400001
264,VPH6GQ3N,265,family,30,21,3,-96.585174560499993,46.267810821499999
265,AHS3VH0M,266,family,195,26,3,-96.585037231399994,46.253734588599997
266,WBN4IW9L,267,family,269,23,4,-96.584100000000007,46.268479999999997
267,RTH2QS8J,268,family,29,20,3,-96.583412999999993,46.268310000000000
268,HLN6GG1K,269,family,77,16,1,-96.583410000000001,46.268310000000000
269,DEB8EA1I,270,family,119,43,2,-96.582700000000003,46.861249999999998
270,HZY3WS5R,271,center,145,77,1,-96.582359999999994,46.860729999999997
271,VXI9VC0J,272,family,165,47,3,-96.581280000000007,46.861139999999999
272,PTT9IS8K,273,family,279,19,1,-96.581230000000005,46.264069999999997
273,EPQ3HN6S,274,family,260,8,4,-96.581230000000005,46.266219999999997
274,MQX8IB5S,275,family,151,30,3,-96.581230000000005,46.269579999999998
275,DMR3QX3Z,276,family,205,37,2,-96.580770000000001,46.864229999999999
276,IQF6JQ4N,277,family,39,40,4,-96.580444335899998,46.864231109599999
277,JPG8ZH7E,278,family,129,38,1,-96.579830000000001,46.864559999999997
278,RAV0JQ6S,279,family,98,24,2,-96.579740000000001,46.861170000000001
279,WWB1ZL8K,280,center,220,50,4,-96.578720000000004,46.861229999999999
280,YOH7NC5P,281,center,212,69,4,-96.577749999999995,46.872630000000001
281,IZS8QX4B,282,family,77,19,4,-96.577520000000007,46.267229999999998
282,VIJ1CX9J,283,center,388,50,4,-96.577520000000007,46.270099999999999
283,ZAK1FY5S,284,family,15,42,1,-96.577301025400004,46.872440338099999
284,PYF8CA7C,285,center,149,54,1,-96.576960000000000,46.866930000000004
285,PDK2RL3M,286,family,62,18,3,-96.576939999999993,46.866349999999997
286,EPC1PO7F,287,center,342,32,2,-96.576930000000004,46.263970000000000
287,MBX1ZM1T,288,center,344,66,1,-96.573692321799996,46.266952514600000
288,NBA0HB1E,289,family,119,29,3,-96.534459999999996,46.250190000000003
289,CBK7OM2P,290,family,196,5,4,-96.530273437500000,47.297893524199999
290,NOL9UL0Y,291,center,254,32,2,-96.525062000000005,47.296930000000003
291,FEB8ZJ2H,292,family,86,9,3,-96.524642944299998,48.659072876000003
292,CPG9WG2P,293,center,115,70,4,-96.524163000000001,47.296169999999996
293,LUF3KU0Y,294,family,130,25,4,-96.523574829099999,48.574878692600002
294,LBW1XN1F,295,family,154,42,1,-96.522819999999996,48.576300000000003
295,COG5UJ2C,296,family,260,1,1,-96.522069999999999,47.296900000000001
296,ING4AI0Y,297,family,258,40,4,-96.520172119099996,48.574546814000001
297,TZO3NU0V,298,family,74,22,2,-96.519360000000006,47.302509999999998
298,LBG5QN1E,299,family,81,9,1,-96.518600000000006,47.303770000000000
299,RMV5LG4Q,300,center,362,33,2,-96.518180000000001,48.581409999999998
300,HRS8AY3D,301,center,170,21,4,-96.518020629899993,47.292915344199997
301,EHL4BL2S,302,center,392,27,4,-96.517579999999995,47.296169999999996
302,EBD9VJ2R,303,family,159,36,4,-96.516009999999994,47.296280000000003
303,IIK0ME6J,304,center,362,23,4,-96.515869140600003,47.296298980700001
304,SIQ4HW0W,305,center,372,68,4,-96.508290000000002,47.298040000000000
305,ZVT0WQ3A,306,center,331,25,2,-96.506169999999997,47.297260000000001
306,YPS2YP8H,307,family,138,9,2,-96.505630493200002,47.301548004200001
307,CGN8KX8J,308,family,152,5,1,-96.505549999999999,47.301450000000003
308,CVH4GS8X,309,family,131,9,1,-96.504679999999993,45.804169999999999
309,MAN8XE0L,310,center,325,58,3,-96.503159999999994,46.543750000000003
310,ZSE0IF9R,311,family,231,21,4,-96.501639999999995,46.845239999999997
311,CNB5DN8I,312,center,318,93,1,-96.500339999999994,45.807240000000000
312,OEV0CD7B,313,family,291,35,4,-96.495760000000004,45.810769999999998
313,GJL8LX2U,314,family,74,3,2,-96.495739999999998,45.806049999999999
314,XFY3QV1B,315,family,146,44,3,-96.495450000000005,45.802149999999997
315,PTV7QQ0S,316,family,281,7,2,-96.494320000000002,45.807870000000001
316,ITX1RE6G,317,family,97,4,4,-96.494270000000000,45.808140000000002
317,JHC0SC7L,318,center,236,53,1,-96.494262695299994,45.807975769000002
318,YMZ1BJ4G,319,center,454,99,4,-96.492959999999997,45.803469999999997
319,KTH1NV1Z,320,family,137,31,4,-96.492931999999996,45.808120000000002
320,POY1FZ0I,321,family,143,35,2,-96.488952636700006,45.804279327400003
321,MMV2CD7O,322,center,303,37,2,-96.486183166499998,48.572906494100003
322,CGV5QO9H,323,center,257,63,1,-96.483490000000003,48.576349999999998
323,VNC0ED7M,324,family,282,22,3,-96.449780000000004,45.319040000000001
324,HMY3RO5D,325,family,201,36,3,-96.449592590300000,45.311332702599998
325,DFZ5FL6F,326,family,101,16,3,-96.446169999999995,45.312930000000001
326,YZT6XZ9Y,327,center,412,60,1,-96.445620000000005,45.311030000000002
327,WGL9HM9Y,328,family,173,4,4,-96.445380000000000,45.312880000000000
328,LJU8PA2S,329,center,363,23,4,-96.444310000000002,44.505310000000001
329,NQN7YN1J,330,center,487,31,2,-96.443920000000006,45.314279999999997
330,TCM6UB3H,331,family,17,18,2,-96.442409999999995,45.310260000000000
331,BYT1AI5I,332,family,206,42,1,-96.442139999999995,45.463009999999997
332,DRG9NH3J,333,family,203,7,3,-96.441993713399995,45.307964325000000
333,ZBZ3LP7V,334,center,253,64,1,-96.440719604500003,45.302433013900000
334,ULB3DB0C,335,family,277,21,1,-96.440222000000006,45.462040000000002
335,AUE1UU5A,336,family,121,14,2,-96.438749999999999,45.310150000000000
336,NGM3MF9Z,337,family,157,31,4,-96.438190000000006,45.311329999999998
337,ZCM7JT2K,338,family,14,37,3,-96.437680000000000,45.573419999999999
338,RSB6QK1Q,339,center,124,44,3,-96.437248229999994,45.568626403800003
339,WAG7LS2U,340,family,295,17,3,-96.435860000000005,45.312379999999997
340,YZF1VU2O,341,family,11,38,2,-96.434700012199997,45.570251464800002
341,ECN5HD3Y,342,center,466,55,1,-96.432022094700002,43.515800476099997
342,ZFH1YR5D,343,center,389,51,4,-96.430790000000002,43.516030000000001
343,IOL4KU0L,344,family,225,37,1,-96.429618835400007,45.565578460700003
344,STV2DP1D,345,family,40,1,2,-96.426829999999995,46.655220000000000
345,AWB1ZW2L,346,center,342,29,3,-96.422711000000007,44.506169999999997
346,CIT9HX9I,347,center,452,56,2,-96.422489999999996,43.572319999999998
347,JVE3EP2N,348,center,220,37,3,-96.421432495100007,44.507003784200002
348,IXH7VG3Q,349,family,59,14,4,-96.419740000000004,44.506630000000001
349,UHV6SE0A,350,center,470,28,3,-96.419010000000000,46.649900000000002
350,NFD1ZM3H,351,family,166,12,2,-96.417098999000004,46.651710510299999
351,BKJ2YM1I,352,center,296,86,4,-96.416740000000004,46.651710000000001
352,XUK8CJ4M,353,family,14,32,4,-96.414900000000003,44.967829999999999
353,QKP2OP1U,354,family,39,3,2,-96.414360046400006,46.657207489000001
354,KOV2OW5I,355,family,89,5,4,-96.414010000000005,46.657209999999999
355,TGD6YM3N,356,family,275,12,4,-96.413430000000005,46.652859999999997
356,VHM0MM4W,357,center,394,28,4,-96.409111022900007,46.657344818100000
357,OFV4FP0O,358,family,13,45,3,-96.409109999999998,46.657609999999998
358,RYP2MJ1D,359,family,224,16,1,-96.408640000000005,46.650810000000000
359,IUU6SO7I,360,family,135,3,3,-96.408220000000000,46.644440000000003
360,YWD0RN9R,361,family,131,8,1,-96.408100000000005,43.994549999999997
361,RBK7BN5M,362,family,239,50,3,-96.408029999999997,46.657060000000001
362,NXY1RX4N,363,family,40,18,4,-96.408020019500000,46.657302856400001
