providerid,uid,caretype,price,capacity,quality,provider_long,provider_lat
ZWI4CQ6A,57,center,141,73,2,-96.87828826904297,48.44629287719727
FXS4OT0N,58,family,128,34,4,-96.87742,48.44723
EXQ2GW0Y,59,center,265,76,4,-96.87672424316406,48.45168685913086
VRM4RH4T,60,family,221,14,1,-96.87658999999999,48.45177
IPG6VO0L,61,family,81,17,3,-96.83291,45.59513
KCI5JN1A,62,family,31,5,4,-96.83033,45.59161
SUV6IE5P,63,center,148,50,2,-96.83009338378906,45.59296035766602
EUC2TC7X,64,family,124,19,4,-96.830062,45.59282
XOW1CI2P,65,family,172,10,3,-96.830061,45.59282
RCD0ZB0Y,66,center,305,29,2,-96.82431,48.33405
RDU3EY0V,67,family,203,35,4,-96.82388,48.33296
ZCJ5DL8C,68,family,233,31,2,-96.82231,48.33225
SMA2DU0A,69,family,197,43,3,-96.81545,48.33322
PCB4IT0W,70,center,363,100,2,-96.81476000000001,47.60661
OWM4VS7I,71,family,149,29,1,-96.81385,48.33316
AEE2FB3C,72,family,186,49,2,-96.81373596191406,48.33330535888672
AKD0TM7N,73,center,377,27,1,-96.81272,47.6083
GLD3LC1T,74,center,103,51,3,-96.80998229980469,48.85968399047852
IZL6DH6S,75,family,109,4,4,-96.8096,48.86138
XAQ8EF2X,76,family,53,47,1,-96.80781,47.26447
QIW5HT8O,77,family,287,29,4,-96.80286200000001,48.85583
XTD8NH9Y,78,center,439,36,1,-96.80174,48.85548
WXA9IV8V,79,family,136,48,2,-96.80172729492188,48.85531616210938
GFP8YA9G,80,family,78,35,3,-96.796682,47.79723
VFO1JN0O,81,family,219,44,4,-96.79666,47.80243
EPU0GZ3U,82,family,6,27,4,-96.79539,47.79747
HAZ8EU9W,83,center,290,72,3,-96.78368377685547,46.96303176879883
UWB6CQ4R,84,family,160,37,4,-96.783,46.96217
IXP1RB2D,85,family,51,3,2,-96.78123474121094,48.19906234741211
FCS2NV6Z,86,center,393,33,3,-96.78095,48.19907
GSJ1UT1A,87,family,158,12,1,-96.78067779541016,46.83016586303711
XFF5OI7W,88,center,306,96,4,-96.78055999999999,46.93693
HRT4QP2P,89,family,188,32,1,-96.77799987792969,46.84439849853516
ZMT1AQ9E,90,family,215,3,3,-96.77739,46.86183
XTR4TC4C,91,family,176,15,1,-96.77738952636719,46.86208343505859
PJO2YL0D,92,family,94,9,4,-96.77552,46.8361
FXZ9HS1L,93,family,25,49,2,-96.77504999999999,46.78884
EFC0LD6E,94,center,440,29,4,-96.77237,46.84061
IDO9RS9P,95,family,12,3,2,-96.77234,46.83661
CAI7LS0H,96,center,112,27,4,-96.77152,46.81878
JDR4PO1A,97,family,109,11,1,-96.77043151855469,46.83554458618164
MHO5SV7Z,98,center,145,21,2,-96.77030181884766,46.8692626953125
GKS4AU5P,99,family,102,44,4,-96.77030000000001,46.86909
NJJ1CT7H,100,family,62,29,1,-96.76989,46.82475
DIB4QC4N,101,family,113,43,1,-96.76957,46.83352
FYU6FC3L,102,center,158,65,1,-96.7692,46.82342
BQP1RU5L,103,family,180,24,4,-96.76900000000001,46.83908
IHE6EF4W,104,family,248,42,4,-96.7689208984375,46.82341384887695
GCX0BQ7Y,105,family,299,29,4,-96.7684,48.19501
ZZH9TE9I,106,family,220,14,3,-96.76749,46.85256
KIY6MY6I,107,family,277,50,4,-96.76748000000001,46.85255
RJO2XI9X,108,family,139,26,2,-96.76669,46.88545
FDE6QI1E,109,family,205,38,4,-96.76600999999999,46.83887
IUW0ZU7U,110,center,485,80,3,-96.76579284667969,46.83977127075195
JWY4IF7K,111,family,106,40,1,-96.76578000000001,46.83888
RXP6CS0B,112,family,285,1,4,-96.76549,46.88887
NGQ8RM3K,113,center,491,50,2,-96.76528,46.87201
AFP0ZU3D,114,family,293,50,2,-96.76513,48.20009
SJL1PW6D,115,center,309,93,3,-96.76463,46.83958
HQK5DJ0S,116,family,149,1,3,-96.76420593261719,46.85404586791992
ZQF9CX5B,117,family,179,0,2,-96.76352,46.88322
QFG4OJ3W,118,center,224,33,3,-96.7634,48.19655
BPW4PX8D,119,center,340,83,2,-96.76263427734375,46.88322830200195
VQR4LQ2H,120,family,67,44,3,-96.76227569580078,46.83990097045898
FHL2BW5P,121,family,222,24,3,-96.76227569580078,46.84953689575195
ZKI4FS7K,122,center,190,85,3,-96.76215999999999,46.83959
DDW1GQ8Q,123,center,281,77,4,-96.76183,46.8423
BOI8WM3B,124,family,132,38,2,-96.76179504394531,46.85311126708984
TNS2CG6X,125,family,299,18,2,-96.76130000000001,46.83771
RHS2WV6C,126,center,114,52,4,-96.76094818115234,46.83771133422852
ASO9AY5L,127,family,237,8,4,-96.76026,46.87973
YEY2RW9L,128,family,290,17,3,-96.75998,46.84536
WKW9QU7L,129,center,169,89,1,-96.75913,46.83737
BAI5JD7Q,130,family,85,39,4,-96.75828,46.86192
OBC1GH6W,131,family,230,32,4,-96.75772000000001,46.88598
RZV0NN5L,132,family,244,22,2,-96.75741577148438,46.85041046142578
KIO6ON8N,133,family,58,34,3,-96.75732421875,46.88298034667969
GWG1FZ7P,134,family,250,29,4,-96.75718999999999,46.852
OVZ5AP9N,135,family,80,8,1,-96.75709999999999,46.85362
CAB4FT7N,136,family,219,29,1,-96.75664999999999,46.84889
JLK6WM1J,137,family,206,29,2,-96.75646999999999,46.85827
YCQ0DK7C,138,center,212,69,2,-96.75627899169922,46.84888076782227
LJP2ZL4N,139,family,251,3,4,-96.75600433349609,46.85641860961914
ZFR8JD9O,140,center,142,54,4,-96.755922,46.85041
KUH0XX8K,141,center,269,71,2,-96.75533,46.88447
AOG7QH0Q,142,family,143,25,4,-96.75526428222656,46.83121109008789
RGG4IK2W,143,center,286,75,1,-96.75466156005859,46.84905242919922
MEK3PE3F,144,family,186,26,4,-96.75466,46.8489
ESI2QH7M,145,family,147,19,3,-96.75314,46.85165
AAN2BC7W,146,family,217,27,3,-96.75278,46.83161
NPB1OI2H,147,center,231,79,3,-96.75247192382813,46.82630157470703
DEP6TR7T,148,family,35,5,3,-96.7521,46.8593
QJH0PL3J,149,family,61,48,4,-96.75176,46.82822
QJH9QX9O,150,family,152,32,4,-96.75174,46.82598
DRH6VR0I,151,center,125,42,1,-96.75089,46.85435
BKY4IJ7E,152,center,114,52,4,-96.75088,46.88832
TTM3FD4L,153,family,105,39,1,-96.75009918212891,46.9263916015625
PQY9OW5E,154,family,175,35,1,-96.74979400634766,46.92842102050781
BCJ5ZV3S,155,center,187,97,4,-96.74876999999999,46.85508
EPQ8NM3H,156,family,273,49,1,-96.74806976318359,46.85322189331055
XFV5NK7T,157,family,250,46,2,-96.74760437011719,46.92867279052734
AIL4ZG7P,158,family,65,40,3,-96.74715000000001,46.92842
HQZ3DT9E,159,center,442,34,3,-96.74714,46.92963
ZME6IT1H,160,family,258,1,1,-96.74664,46.84087
ZZQ4RQ4R,161,family,117,50,1,-96.74609375,46.84566879272461
BKI3CC2G,162,family,176,47,2,-96.74566,46.84446
ZWK6VJ0J,163,family,109,31,1,-96.74543,46.87054
VUX7EY5U,164,family,112,34,3,-96.74462890625,46.87127304077148
KMY5CE3J,165,center,427,63,4,-96.74442000000001,46.84215
JYR1XY6W,166,family,55,6,1,-96.74263999999999,46.86807
JCS9DG7V,167,family,82,43,1,-96.74185,46.87058
USN6PM6Q,168,family,74,4,2,-96.74151999999999,46.86791
QWL8PL0Z,169,family,5,12,3,-96.74147796630859,46.87059020996094
CGP1BJ3C,170,family,9,37,2,-96.74133000000001,46.86628
RED9SL5A,171,center,319,54,4,-96.74069213867188,46.86807632446289
RAB0HF6Z,172,family,263,47,4,-96.74048999999999,46.8655
EAC4XB1R,173,family,105,20,1,-96.73924,46.86494
KQS6KY1Y,174,family,37,25,2,-96.73911,46.88258
ZBQ2LV5Y,175,family,108,42,4,-96.73805236816406,46.88163757324219
OPV2AI2G,176,family,275,44,3,-96.73804,46.88176
HSV3LY9B,177,center,427,26,3,-96.73775999999999,46.8458
LLE1CE9X,178,center,417,57,2,-96.73672999999999,46.86402
DIU5UP7J,179,family,88,0,3,-96.73500061035156,46.8614501953125
GIM3GM3O,180,family,177,47,4,-96.73497999999999,46.84545
ZOM2YV6V,181,family,209,42,3,-96.7349,46.86124
KBO3JK1M,182,center,290,53,4,-96.73269999999999,46.85788
SOZ6FK8M,183,family,102,43,1,-96.73123,46.86301
SHV9ZU7K,184,family,91,15,4,-96.73122406005859,46.86281585693359
SUQ4XT7Y,185,family,213,34,2,-96.7294921875,46.85544204711914
CVZ4HX0E,186,center,110,72,4,-96.72948,46.85519
EVE7LO8F,187,family,136,50,1,-96.72915,46.84538
FME4TS1D,188,center,126,53,1,-96.72829437255859,46.88314819335938
FUV4GC6P,189,family,32,35,1,-96.72829,46.88339
QJG7TT3A,190,family,152,20,1,-96.72465,46.86237
AVA6QS5Z,191,family,202,27,2,-96.72145,46.84345
PFM6DW3Q,192,family,13,43,1,-96.71808,46.86381
OMT4IK4M,193,family,28,18,4,-96.71720999999999,46.84022
SFC5SV6Y,194,center,451,57,1,-96.71663,46.83171
MCR6FE1S,195,center,453,25,3,-96.71296691894531,46.88245391845703
CJH7ZQ0N,196,family,131,26,2,-96.71187999999999,46.83107
DQS8SW2H,197,center,143,36,2,-96.71153259277344,46.88086318969727
BDL7WT1B,198,family,149,11,3,-96.71064,46.88203
QQS4XP2X,199,family,246,39,2,-96.70944,46.88165
RHD9ML6J,200,family,247,29,3,-96.7093,46.87794
COY7YU1F,201,center,226,67,3,-96.70906829833984,46.88163375854492
TFG9HW5G,202,center,311,37,3,-96.70895,46.83262
XNS6JP7C,203,family,226,44,2,-96.70835,46.88193
BXV7YF4K,204,family,170,28,1,-96.70663,46.88064
MBT4XG9B,205,family,190,27,1,-96.70623000000001,46.88058
NQS0SA9X,206,family,66,30,3,-96.703282,46.87771
BKI6SV6C,207,family,87,44,1,-96.703281,46.87771
ZTS5WJ6F,208,family,288,29,3,-96.69925000000001,46.8751
KPW4UD6F,209,family,153,36,2,-96.69862000000001,46.87797
MMI9IS5K,210,family,292,19,4,-96.69805,46.87686
LJC3IZ4G,211,center,403,41,4,-96.69734,46.87937
MCS0OA2P,212,family,220,40,3,-96.69549000000001,46.88305
IBP8EP3Q,213,family,243,47,2,-96.69347999999999,46.88446
IWX1FZ0V,214,center,242,41,1,-96.69347381591797,46.88424682617188
FUU2TJ4S,215,family,19,43,4,-96.69277191162109,46.88169860839844
COJ7SL3V,216,family,260,14,1,-96.69211,46.88861
PTR7UK4M,217,family,80,18,4,-96.69173000000001,46.88313
XVZ7UP7T,218,family,102,30,4,-96.69045257568359,46.87980270385742
IUH1AF9Z,219,center,169,34,1,-96.69045,46.87958
HHK3RK3C,220,family,55,49,2,-96.69011999999999,46.87925
XFA3MQ3H,221,family,28,12,4,-96.69010925292969,46.8790283203125
GFU4QN5O,222,center,224,79,2,-96.68778,46.87925
YGF8EM3R,223,family,263,12,2,-96.68711999999999,46.88184
NNT6NN9U,224,center,199,25,2,-96.65919,46.77935
WHR7KM6A,225,family,142,31,1,-96.65770000000001,46.77945
AOR4XC7N,226,center,466,20,3,-96.6542,46.77995
CFV7EW8K,227,center,494,84,4,-96.63263000000001,47.80048
CBN6FO8I,228,center,199,69,1,-96.63248443603516,47.80052185058594
GRC7LX3J,229,center,411,46,2,-96.6224,47.76656
IGR6IS9M,230,center,126,64,4,-96.62067999999999,47.76127
TZN5VF4M,231,family,179,39,1,-96.61505126953125,47.76811981201172
WVY9YW2P,232,family,147,4,4,-96.6142,47.76115
NOV9LE9W,233,center,248,99,4,-96.61238098144531,47.78205871582031
CBH0UI7I,234,family,276,38,2,-96.61177062988281,47.7810173034668
ZUL5SI0W,235,center,244,81,3,-96.60941099999999,47.78289
KYG8XU2E,236,family,157,26,2,-96.60657999999999,47.76625
FDP1WL3N,237,family,176,20,4,-96.60625457763672,47.78255844116211
WBZ7SY3X,238,family,35,28,3,-96.60625,47.78282
WNV3CR9U,239,center,374,87,3,-96.60621,47.7805
BUR9GH5Y,240,family,268,5,3,-96.60595000000001,47.77374
AHZ5LO5T,241,center,405,43,3,-96.60557,47.76821
JJX4ID1U,242,center,461,57,2,-96.6049,47.76126
NFJ6HM9U,243,family,176,44,4,-96.60030999999999,47.78329
IWV3JF1Y,244,family,44,22,1,-96.59587000000001,47.78485
YOF3HH7G,245,family,259,44,2,-96.59428,47.78511
KDR0GC7J,246,center,201,24,1,-96.59384155273438,47.78307723999023
UUF6FX8A,247,family,178,4,3,-96.5937,47.78351
NRZ7GH1U,248,center,137,33,2,-96.59365,46.27186
BLV8SV3U,249,family,141,49,3,-96.59291839599609,46.27632904052734
IEH6XV8P,250,family,7,31,3,-96.59231567382813,46.26139068603516
HUS8QN0G,251,family,144,48,2,-96.59114074707031,47.77951431274414
KFJ2QV5I,252,family,179,21,1,-96.58999,47.78161
PCC8GE2F,253,center,426,99,1,-96.58940887451172,47.78694915771484
QHA3IX3K,254,center,351,34,4,-96.58899,47.78749
LON9GY2Y,255,family,138,9,1,-96.58696000000001,46.26192
GRJ5XL8Q,256,family,98,43,4,-96.58660888671875,46.25577926635742
FMX2IP7F,257,family,4,35,2,-96.58650970458984,46.26045989990234
QRZ4RB1F,258,center,386,58,2,-96.58650207519531,46.26073837280273
COE4EZ8B,259,center,357,42,3,-96.58611999999999,46.26073
MXF9UW2W,260,center,236,25,3,-96.58592,47.78211
JEN6DP6M,261,family,147,1,2,-96.58591461181641,47.78187561035156
YJR8UC8T,262,family,266,28,3,-96.58586883544922,47.78355407714844
TQS6HM0P,263,family,216,15,1,-96.58553000000001,46.26854
MXI9ZW5Y,264,family,118,43,4,-96.58518981933594,46.26060485839844
OJC9ZA9M,265,family,29,6,3,-96.58517456054688,46.2678108215332
RLT1XT4N,266,center,239,42,2,-96.58503723144531,46.25373458862305
DPU7JM0V,267,center,131,59,4,-96.58410000000001,46.26848
IUE4LO0Z,268,family,49,29,2,-96.58341299999999,46.26831
BCE7TL9O,269,family,292,42,1,-96.58341,46.26831
TAA0CN5L,270,center,440,61,1,-96.5827,46.86125
NVY8SZ4F,271,center,279,23,4,-96.58235999999999,46.86073
NVK7TB3C,272,family,198,48,4,-96.58128000000001,46.86114
YOD1DC0Z,273,family,272,11,4,-96.58123000000001,46.26407
HKC5CD0T,274,family,235,32,2,-96.58123000000001,46.26622
JXV8DN4J,275,family,200,48,4,-96.58123000000001,46.26958
KVL9OY8K,276,family,190,21,1,-96.58077,46.86423
XZM0CO9B,277,family,234,4,1,-96.5804443359375,46.86423110961914
SMC5YO4F,278,family,114,36,1,-96.57983,46.86456
SJH1YG8D,279,family,229,0,2,-96.57974,46.86117
NZI9MU5J,280,center,448,70,3,-96.57872,46.86123
LTL8JV1D,281,family,131,27,3,-96.57775,46.87263
UZO8JN4H,282,family,40,30,4,-96.57752000000001,46.26723
KUU1WU0R,283,family,204,17,3,-96.57752000000001,46.2701
PMY1VV8M,284,family,266,14,1,-96.57730102539063,46.87244033813477
FMT1XX7T,285,family,78,41,4,-96.57696,46.86693
MCB2KR5W,286,family,104,9,2,-96.57693999999999,46.86635
NQR1FZ5W,287,family,72,20,1,-96.57693,46.26397
OYX5SS0H,288,family,263,39,1,-96.57369232177734,46.26695251464844
TWI0II8N,289,family,186,37,4,-96.53446,46.25019
AZB6KZ3I,290,family,79,44,4,-96.5302734375,47.29789352416992
MKE8EA8D,291,family,171,11,4,-96.52506200000001,47.29693
FGS5OV1E,292,center,115,38,2,-96.52464294433594,48.65907287597656
VOG8UT8Z,293,family,137,25,3,-96.524163,47.29617
DIK1OB8S,294,family,196,13,2,-96.52357482910156,48.57487869262695
XOH9TN7V,295,family,280,38,1,-96.52282,48.5763
RKJ2YJ9S,296,center,416,51,4,-96.52207,47.2969
UYO2WJ5B,297,family,33,21,1,-96.52017211914063,48.57454681396484
NYA4NY5H,298,family,233,46,4,-96.51936000000001,47.30251
UNI4NM8T,299,family,130,17,4,-96.51860000000001,47.30377
NPP0MU3C,300,family,22,1,3,-96.51818,48.58141
IRC7KX9G,301,family,209,12,3,-96.51802062988281,47.29291534423828
XTP6OA6H,302,family,296,14,1,-96.51758,47.29617
HWS2XJ1I,303,family,148,2,2,-96.51600999999999,47.29628
FHB9AN7B,304,family,0,34,1,-96.515869140625,47.29629898071289
XLE7CG0Z,305,family,16,27,2,-96.50829,47.29804
GMK0SD9H,306,center,305,46,2,-96.50617,47.29726
CBN2DT7Z,307,family,25,49,3,-96.50563049316406,47.30154800415039
RJO9YD1P,308,family,85,18,2,-96.50555,47.30145
TZX0SP3W,309,center,217,40,3,-96.50467999999999,45.80417
SJR3WC3U,310,family,106,33,1,-96.50315999999999,46.54375
XTU4FL3T,311,family,260,25,2,-96.50164,46.84524
GYG6CM9Y,312,family,297,22,4,-96.50033999999999,45.80724
NIL9MO1V,313,family,30,12,3,-96.49576,45.81077
DVY7KB8A,314,family,227,27,4,-96.49574,45.80605
AQM1QF6I,315,family,153,37,2,-96.49545000000001,45.80215
HQR4MK9B,316,center,479,43,1,-96.49432,45.80787
DJB8AN8Z,317,family,55,8,4,-96.49427,45.80814
BFI8AW0I,318,center,192,27,1,-96.4942626953125,45.80797576904297
ZEF2ME9C,319,center,246,53,4,-96.49296,45.80347
PXJ9AM1C,320,family,86,49,2,-96.492932,45.80812
BTC2ZN3Q,321,center,299,49,2,-96.48895263671875,45.80427932739258
DLQ9XP2B,322,center,174,76,4,-96.48618316650391,48.57290649414063
PXX8NT0J,323,center,427,88,2,-96.48349,48.57635
JOC6JC0R,324,center,387,52,1,-96.44978,45.31904
CWS7HB4J,325,center,231,72,3,-96.44959259033203,45.31133270263672
VVP8MN5J,326,family,137,28,2,-96.44617,45.31293
DEP4EI0V,327,center,134,68,2,-96.44562000000001,45.31103
YUA1PR0X,328,family,64,2,1,-96.44538,45.31288
URS9JW4H,329,center,177,72,2,-96.44431,44.50531
UER1WN9U,330,center,170,44,1,-96.44392000000001,45.31428
IIS5LD2D,331,family,30,41,1,-96.44241,45.31026
XDV7II0T,332,center,248,71,4,-96.44214,45.46301
DOE4UK0H,333,family,224,45,1,-96.44199371337891,45.30796432495117
AKA0BP1G,334,family,213,25,1,-96.44071960449219,45.30243301391602
BQV4AL7C,335,center,127,69,3,-96.44022200000001,45.46204
GEX6DO1I,336,center,358,25,3,-96.43875,45.31015
KRG1LE5B,337,center,310,33,1,-96.43819000000001,45.31133
CAU5TU9T,338,family,180,23,4,-96.43768,45.57342
NRE9AI4G,339,family,161,28,2,-96.43724822998047,45.56862640380859
BVJ5RL7X,340,family,38,20,1,-96.43586000000001,45.31238
JSE0LO1U,341,family,0,44,2,-96.43470001220703,45.57025146484375
TEU6KV7Y,342,family,197,32,2,-96.43202209472656,43.51580047607422
ISN7MA9L,343,family,135,40,1,-96.43079,43.51603
QDR0II9Q,344,center,491,73,2,-96.42961883544922,45.56557846069336
NCY3CM9K,345,family,261,24,4,-96.42683,46.65522
FOE7HS8I,346,family,139,31,1,-96.42271100000001,44.50617
GVH1UX3T,347,center,428,38,1,-96.42249,43.57232
OVY8GF6R,348,center,388,46,2,-96.42143249511719,44.50700378417969
UQG5KC9E,349,family,157,7,3,-96.41974,44.50663
BMY3OV0U,350,family,269,25,4,-96.41901,46.6499
MTL1NC0J,351,center,124,34,1,-96.41709899902344,46.65171051025391
ZRL4AQ4F,352,family,71,30,3,-96.41674,46.65171
LMA8QB7B,353,family,210,41,4,-96.4149,44.96783
MBQ3ZW5Y,354,center,418,25,2,-96.41436004638672,46.65720748901367
NAC1ZQ5U,355,family,58,31,1,-96.41401000000001,46.65721
DKJ3PT1O,356,family,83,12,3,-96.41343000000001,46.65286
YLN4YI6Z,357,center,240,26,4,-96.40911102294922,46.65734481811523
ZVE7YZ5O,358,center,160,97,4,-96.40911,46.65761
KHY6HF4R,359,family,259,7,1,-96.40864000000001,46.65081
XLG8HH3D,360,family,86,26,2,-96.40822,46.64444
UZN4XZ3V,361,family,297,0,2,-96.40810000000001,43.99455
GQI4UG5D,362,center,451,57,2,-96.40803,46.65706
RYB9HY2X,363,family,115,47,2,-96.40802001953125,46.65730285644531
FIL0HZ7P,364,family,240,20,1,-96.407811,48.22061
KNI4RK6G,365,center,101,31,1,-96.40765380859375,48.22056579589844
JSI0JU1T,366,center,100,77,1,-96.407342,46.65419
JNR6BG5Z,367,family,86,10,4,-96.4068603515625,46.6441764831543
RPT3ZV0H,368,family,121,41,3,-96.40686,46.64443
TXD3BM1F,369,family,116,27,2,-96.40678,46.64479
LJD4NH6M,370,family,224,17,1,-96.40615200000001,46.09742
FMN1NA7Z,371,center,221,44,1,-96.39910125732422,46.86364364624023
MFV4NY3F,372,center,203,47,2,-96.3976,43.85123
FND0YF9Q,373,family,7,4,3,-96.39736175537109,43.85094833374023
OEN9ET4E,374,family,217,28,1,-96.38374,44.26208
NQS6DB9O,375,family,69,47,1,-96.38373565673828,44.26207733154297
QRQ5MQ4N,376,center,303,35,3,-96.37517,44.72007
RAI3NR3V,377,center,173,21,4,-96.362662,43.61096
MXV7AX1P,378,family,266,0,1,-96.36197662353516,43.52819061279297
ONL5XD8X,379,family,197,28,1,-96.36180114746094,43.61219787597656
RFL0ZV1H,380,family,242,0,2,-96.3618,43.61226
QAR8KF5L,381,center,194,38,2,-96.36106109619141,48.36936950683594
MXS9GB0G,382,family,100,2,3,-96.36042022705078,43.52386856079102
BTO2EZ3D,383,family,142,36,1,-96.35939000000001,43.52845
FSE6HH3C,384,family,170,20,1,-96.35797,43.52744
ZRI9XR8A,385,family,160,17,1,-96.35666999999999,43.52609
BOJ8NH8C,386,family,20,34,3,-96.356201171875,43.52722930908203
QGO9KB6N,387,center,297,49,2,-96.35581999999999,43.52724
SVI0ZO0Q,388,center,435,66,4,-96.34032000000001,43.51687
VXJ7WF9W,389,family,130,18,1,-96.33823,48.39882
ISV0GS8L,390,family,135,17,4,-96.33793640136719,48.39896774291992
WGZ7SL9Y,391,family,78,5,1,-96.3366,48.36925
NNS3PO0R,392,center,251,36,3,-96.33251,46.88271
LQM1YY1P,393,center,417,51,3,-96.33205413818359,46.8827018737793
KND7PI8V,394,center,375,20,4,-96.33143,43.99583
UHP7IM2J,395,family,33,22,3,-96.33068,43.99961
MOZ2NH4X,396,family,218,39,3,-96.32919099999999,44.00075
EYE0VW9O,397,family,263,15,2,-96.32919,44.00075
TAG5BS6P,398,center,111,67,1,-96.32907,43.99294
AWT7GO6W,399,family,259,8,1,-96.32901763916016,43.9994010925293
YMY2NO6V,400,family,226,25,1,-96.32822,43.99033
GGL7IY9O,401,center,271,84,1,-96.32754516601563,44.00142669677734
IUS7XF2O,402,center,100,91,3,-96.32742,48.12871
BSI1LH0M,403,family,174,35,1,-96.32738494873047,48.35090637207031
SGS8YN8C,404,center,173,53,4,-96.32714,48.35029
EDK6QB5M,405,family,94,7,4,-96.32698000000001,43.99197
WSW7CS0O,406,family,56,24,3,-96.32686,44.0011
CED2WY1J,407,family,160,13,4,-96.32579,44.00014
KCI9KV0A,408,family,238,38,3,-96.32551574707031,44.00046539306641
VYY2RD0A,409,family,141,27,2,-96.32519000000001,46.88429
LVT5RR6Z,410,family,92,11,4,-96.32436,48.35621
GHS3BF6W,411,family,196,5,2,-96.32321,46.88183
EVK5JJ9A,412,family,238,30,4,-96.32304382324219,43.99723052978516
BWI6YS7V,413,family,288,33,4,-96.32304000000001,43.9969
LSH9AA0L,414,family,13,44,2,-96.32270812988281,46.88457489013672
HCU8LF2J,415,family,280,46,4,-96.3227,46.88518
GNT9NJ7N,416,family,264,29,2,-96.32186889648438,46.87844085693359
BGU9GV7D,417,family,282,36,1,-96.32040000000001,43.99963
NEY2AU6R,418,family,73,41,1,-96.32032,46.88538
AUJ1OX9Y,419,center,376,65,2,-96.32028961181641,44.5029411315918
ZGB9CT4B,420,family,32,10,4,-96.32011,44.50213
BKE5UW6J,421,family,212,14,1,-96.31887817382813,46.88213729858398
YUG1RG1F,422,family,95,36,1,-96.31706,46.88028
OMK3YI7E,423,family,287,19,4,-96.31602,46.88579
TXO7NH8N,424,center,498,42,4,-96.31414,46.88147
